round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_auroc,fed_f1,fed_brier,fed_auprc,fed_prevalence,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
31.0,0.6395829014077952,1.1134785628653059,67.16416,67.16416,0.5412350858791136,0.33984123790257187,0.32050857245926473,0.6952908459854752,0.29579892253052825,0.21397298782950314,0.2583382496665484,0.11416703379696647,0.5782978427298338,2.2761759002960806,0.3632252196392495,0.08313895720184672,0.7299549008588124,0.2045002711006687,0.20454648167397296,0.5202532410621643,0.4374183425186229,0.2953173508697089,0.11389601892395189,0.004383595104831998,0.8116303505375981,,0.004383595104831998
32.0,0.6136445664319641,1.1036119605574572,69.1456,69.1456,0.5412350858791136,0.3257371224583731,0.3344629914962456,0.7083964859240892,0.3025677954007009,0.20394906572133345,0.27654991513744226,0.11416703379696647,0.5773545741918623,2.4531497724423197,0.3480704640671799,0.08151812629820694,0.7157241057972045,0.20441914057204827,0.2045002711006687,0.49234041571617126,0.4387695730914466,0.2971643090865159,0.11389601892395189,0.0051322218724169436,0.974776127259247,,0.0051322218724169436
33.0,0.5958653001625065,1.4526112190229716,71.12704,71.12704,0.5412350858791136,0.32464390037250984,0.34421933521056125,0.7186735419918276,0.309759931802651,0.2043872720165869,0.29091309447960123,0.11416703379696647,0.5969601605415525,2.595635178462368,0.3482513895129452,0.0815904131954164,0.7163587802826905,0.20441914057204827,0.2045002711006687,0.49582910537719727,0.44176060207009266,0.30025668842535985,0.11389601892395189,0.0057447549678190804,1.1280648256652057,,0.0057447549678190804
34.0,0.5751455339744675,1.2733417471418016,73.10848,73.10848,0.5412350858791136,0.307302170759659,0.35181762364645575,0.7325995242049027,0.3236542922053305,0.19153246787429126,0.30935186096923345,0.11416703379696647,0.5738157631129644,2.7624779610753554,0.35101546900639313,0.08189243146365614,0.7190104819935412,0.2045002711006687,0.2045002711006687,0.5098527669906616,0.44115009751963785,0.29925620065962566,0.11389601892395189,0.006032966016637883,1.2351641070563346,,0.006032966016637883
35.0,0.6421333925652858,1.7404068913561594,74.7776,74.7776,0.4559241291901578,0.3449508097407048,0.30856732203520015,0.6813231143804476,0.2889832995872491,0.21930743551639467,0.2457607438876172,0.11416703379696647,0.5697729800854704,2.1523330796037836,0.3551310742546542,0.08234613880241835,0.7229940043593682,0.2045002711006687,0.2045002711006687,0.5107626914978027,0.43563145594685904,0.293797586335996,0.11389601892395189,0.006937127647106718,0.5103781528305262,0.006937127647106718,
36.0,0.6344012922140457,1.305862700297558,76.75904,76.75904,0.5412350858791136,0.33618773942871544,0.3195608507964819,0.6975648585108655,0.3001809888832183,0.2111486159968711,0.26583079437471,0.11416703379696647,0.5577308927213158,2.3466399862306067,0.35339448112258764,0.08219295985878017,0.7216491027106068,0.20441914057204827,0.2045002711006687,0.49776288866996765,0.4308772383860442,0.2891615006261847,0.11389601892395189,0.003797778971133306,0.7983418598305434,,0.003797778971133306
37.0,0.6107152094499884,1.078231523116481,78.74048,78.74048,0.5412350858791136,0.3351348529592254,0.3304404026934646,0.7115444411017429,0.30647453655561024,0.20997404917788098,0.28275380634264197,0.11416703379696647,0.5925811024457621,2.5058933572076767,0.34900965248610416,0.08173134542382357,0.7175961565293639,0.20441914057204827,0.2045002711006687,0.4922368824481964,0.43323981631887504,0.29183434862947155,0.11389601892395189,0.0038543627435988336,0.8298711693496443,,0.0038543627435988336
38.0,0.5957850486727514,1.6011739012806867,80.72192,80.72192,0.5412350858791136,0.3225709261161879,0.34859717884854324,0.7268768988518248,0.3171144290043654,0.20028147418614856,0.2995986765189913,0.11416703379696647,0.5761738016341436,2.66177187434605,0.3464469916931163,0.08147388142075977,0.7153356385104179,0.2041406744417322,0.2045002711006687,0.4805523455142975,0.43516060490211983,0.29373954313241946,0.11389601892395189,0.004627926416497132,1.0257866927422583,,0.004627926416497132
39.0,0.5723143590307845,1.437323072756947,82.70336,82.70336,0.5412350858791136,0.32989339273159657,0.3548566556026914,0.7380320218045587,0.3228568520720526,0.2048999982397262,0.3138917049245984,0.11416703379696647,0.5949092624328368,2.8031994671408653,0.34963688663362413,0.08179244693310204,0.7181326240007974,0.20421261977942506,0.2045002711006687,0.4790552854537964,0.43765112169256043,0.2960999497120784,0.11389601892395189,0.005350506505280699,1.2250776528380811,,0.005350506505280699
40.0,0.6371884202587699,1.7988140497062457,86.35392,86.35392,0.9971592150692714,0.35009500162053625,0.3086805995683601,0.6815935365986959,0.28637032774645493,0.22179983006995413,0.2475843172272513,0.11416703379696647,0.5797694789634807,2.1612379552203644,0.34887298895663305,0.08173605237501888,0.7176374832696641,0.20326711615910223,0.2045002711006687,0.46772661805152893,0.4296105826253217,0.2880229126699394,0.11389601892395189,0.0044030732849032585,1.3868363146902993,0.006574374707516116,0.0036763281412932913
