round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
39.0,0.6516269598577329,2.825509827250544,142.77744,142.77744,1.0,0.3137279469808927,0.3645515633424658,0.11398539778449145,0.7280322643201665,0.5808995393163938,0.31338414680335175,2.7534880220034763,0.33503706075466977,0.2097101907938806,0.6432230275010192,0.20657356683963993,1.813703137223511,0.2624577702702703,0.26734889670610806,0.5716676712036133,0.33631760960434015,0.22003079301310716,0.11389601892395189,0.0028258532968609452,1.8207058592124667,0.0013522041786889363,0.00445847088108001,0.005254173253105194
40.0,0.64766206463169,2.6324008890975623,146.4384,146.4384,1.0,0.31453561920868683,0.3649033969618669,0.11398539778449145,0.7287675141431611,0.5872334140481394,0.317139594109249,2.7561759327557347,0.33083779935858826,0.2072566388803989,0.6415455799350129,0.2045124336387653,1.7956065152313865,0.2614902130420677,0.2678082191780822,0.5815439820289612,0.33249688638145086,0.21802088991076798,0.11389601892395189,0.002738785269114837,1.8112219492304575,0.0013085957774473115,0.004324412363513775,0.005826300998274697
41.0,0.6598431036137755,2.7327383963397622,150.09936,150.09936,1.0,0.318028313038321,0.3637477742826506,0.11398539778449145,0.7303002112459956,0.5712425171661172,0.3157061469182694,2.7835424076231474,0.3234204340536362,0.20273773845713636,0.6413364307722796,0.2059708730116452,1.8084115226992392,0.26463777704267283,0.26864418637190424,0.5442509651184082,0.3249680780458855,0.21389991871639905,0.11389601892395189,0.0025662624080657627,1.7424602986020545,0.0012626577697240303,0.00401208906160663,0.00591546073402409
42.0,0.6535364358146046,2.733723162259353,153.76032,153.76032,1.0,0.3181928613687317,0.36166691801314743,0.11398539778449145,0.7298118905942746,0.5924640801197811,0.31152223318657707,2.7867857332869597,0.33976434039299463,0.21304875287884148,0.6435090797040277,0.20670444406953303,1.8148522312052813,0.262151144559423,0.2680071264952914,0.5381560921669006,0.3415347651409138,0.22398612954078212,0.11389601892395189,0.002469468658068114,1.7213443854689103,0.0012359033971123612,0.0038459363831506855,0.004201717927240894
43.0,0.6506066302914426,2.8816980299674766,157.42128,157.42128,1.0,0.3239585363024844,0.3662481088930317,0.11398539778449145,0.7330233510196345,0.5923281517798927,0.31593942966483035,2.8362351866030058,0.3261270132583304,0.20440692646638658,0.6443095715822985,0.20656245435248594,1.8136055702737706,0.2667246818231263,0.26927921623512946,0.5505707859992981,0.3277318222559058,0.21576535188029117,0.11389601892395189,0.0023693311043374334,1.6922584662606823,0.0011784576067003993,0.003701209167455372,0.004992938466772613
44.0,0.6638673833741664,4.3624759161359,161.08224,161.08224,1.0,0.32238942480731214,0.3676668507758408,0.11398539778449145,0.7325799031792287,0.5806827557227253,0.31786823725464375,2.8268044060112296,0.3214899094231222,0.2028614996209164,0.6427995713508866,0.20506679562129868,1.8004737791425467,0.2628398791540785,0.2683640620427275,0.5623213052749634,0.3236269347019028,0.214522091489402,0.11389601892395189,0.0023847612119564723,1.7469398821513096,0.0011489368627780308,0.0037651758766729833,0.006273629509254282
45.0,0.6556902375814697,3.2544273347938906,164.7432,164.7432,1.0,0.32673617295493734,0.3720082294921919,0.11398539778449145,0.7355342243096389,0.5681936286937554,0.3266309573684074,2.862853865688879,0.31282287096384137,0.19615512130498608,0.641251709423569,0.20594355628984518,1.808171683571778,0.2632622128949516,0.2686116700201207,0.516028642654419,0.3145279841863781,0.20830543729538314,0.11389601892395189,0.0023027205690374975,1.73115603966653,0.001073390669621228,0.0036802203156389005,0.00575868459293413
46.0,0.6642976460244783,3.599717788601743,168.40416,168.40416,1.0,0.32623467381006593,0.3722680724893418,0.11398539778449145,0.7361414436989573,0.605030781852995,0.30734960167650105,2.854859899225264,0.336514059309025,0.21315892581000986,0.6405424269605595,0.20292557444898657,1.7816739897158258,0.2595343235648334,0.270437185112953,0.5997588038444519,0.338070138368687,0.22547724140860115,0.11389601892395189,0.002186266143658241,1.6817945379116281,0.0010647380727145364,0.0034433257092611608,0.005887310865798672
47.0,0.6696297170565775,3.702723794674951,172.06512,172.06512,1.0,0.3277532775283351,0.3724270914493996,0.11398539778449145,0.7370001300620462,0.6056645404236073,0.310287267672119,2.8692104017304647,0.33360591720637744,0.21027810886370793,0.6389225688285975,0.20130823574632978,1.7674738559628043,0.2559173126614987,0.26755852842809363,0.5790262222290039,0.33579018793406396,0.222970377953001,0.11389601892395189,0.002255426149608742,1.773362471960354,0.0010697306445449947,0.003590548973950427,0.004924802749931093
48.0,0.6553264366291344,3.282298518669971,175.72608,175.72608,1.0,0.3311857305556769,0.3736545757864546,0.11398539778449145,0.7381465718466744,0.603213585164747,0.31515036899923354,2.899226046505549,0.32241816045092525,0.2037723179764821,0.6404270974990499,0.20430613573230708,1.7937952323752582,0.2593696763202726,0.26795464090718185,0.559342622756958,0.32384412058528084,0.21674637404639727,0.11389601892395189,0.002216319181416103,1.7849797505841707,0.0010288360686028285,0.003544894089011791,0.006741181571471577
49.0,0.6737636526365013,4.494655141144106,179.38704,179.38704,1.0,0.32945032048786055,0.37329198793327983,0.11398539778449145,0.7374036324380169,0.5945975293498206,0.31914258728831923,2.8846564301400663,0.31652003380101745,0.19994316887778207,0.6404095659149662,0.20220054721075048,1.7753082954177646,0.2588005215123859,0.26437499999999997,0.5750763416290283,0.3187247043865043,0.21236041723774848,0.11389601892395189,0.002178730561085571,1.7954820628674497,0.0010114118992808777,0.003491713337334828,0.0052774459900653305
50.0,0.6624519774848994,3.6956829863230354,183.048,183.048,1.0,0.3324133144689576,0.37627197748098046,0.11398539778449145,0.7398125724671305,0.5878410728072442,0.3264694418924377,2.9064311702850847,0.31999544420509124,0.2003920880498426,0.6342910932675756,0.20175802172699514,1.771422949047135,0.2619641642095713,0.2646781789638933,0.5675219893455505,0.32127506275555373,0.21374008846963977,0.11389601892395189,0.0020334088884720585,1.7111789134805804,0.0009293933714136787,0.0032801765698261625,0.004730485082999737
