round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_auprc_lift,fed_f1,fed_auroc,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
31.0,0.6494327709634076,1.6384478719597655,113.48976,113.48976,1.0,0.3427211908682774,0.5849814272016933,0.33966269396621585,0.11022977651872835,2.5760783522421065,0.3019253093164433,0.7120003119062215,0.28275466805413335,0.2112741191945748,0.6625305974457649,0.21786659517697388,1.9128552273845751,0.2801582069874753,0.2829941687492562,0.5170172452926636,0.33620989449130795,0.2177310713484806,0.11389601892395189,0.0034290800765000564,1.7035086373907689,0.0018453305847310004,0.005075456993963318,0.005400478231379576
32.0,0.6449364649389197,1.5931718456714656,117.15072,117.15072,1.0,0.3457952323229667,0.57895494714581,0.3287334448419492,0.11022977651872835,2.5792396578501404,0.305149209908637,0.7134835269398618,0.28400101119136206,0.20253661401311757,0.6624773375725717,0.21836172266526815,1.9172024161008452,0.27969961836759816,0.2834895457822639,0.5286112427711487,0.3248891763357729,0.2088252041919449,0.11389601892395189,0.003565078787867269,1.831212378147029,0.0019067076898948963,0.005293494684106774,0.004709140928234279
33.0,0.6399754966881341,1.358311551335416,120.81168,120.81168,1.0,0.3491822723068222,0.5675276181693718,0.31468679297256175,0.11022977651872835,2.656118070511384,0.3087333372701488,0.716613419407689,0.29236777735372893,0.19445088014409767,0.6614795808623672,0.21559798321562557,1.89293695471112,0.28028864413216864,0.2835614718071079,0.4985339641571045,0.3104845700177152,0.2014107644465896,0.11389601892395189,0.0031189623310196343,1.6574352395400638,0.0017629164707702373,0.004533091770816546,0.004627535629470035
34.0,0.6525670788068049,1.8353086434051573,124.47264,124.47264,1.0,0.34944997873445033,0.5818430496736783,0.3258169691641057,0.11022977651872835,2.645930100112505,0.31286301184258325,0.7183906505326921,0.29146370877572,0.20143951674953695,0.6601030315007804,0.21618228604970968,1.8980670974466114,0.27871030068832264,0.2829143587558585,0.531410813331604,0.3217753321120349,0.20866950314336924,0.11389601892395189,0.003225896084084314,1.7696184296455613,0.0017269914318153044,0.004790168759465805,0.005242984253322928
35.0,0.6469440438372839,1.5570624319859454,128.1336,128.1336,1.0,0.35365154406738425,0.5929362334017864,0.34028464737490344,0.11022977651872835,2.6776374732572408,0.305675982969289,0.7186791316743295,0.29514437579385894,0.21067904233747473,0.6579736907269943,0.21417153000716252,1.88041278378803,0.27946916471506633,0.28290062667860333,0.52400803565979,0.3360251333026697,0.21783907889096701,0.11389601892395189,0.0033022322782421164,1.869409226183052,0.0017148693388208695,0.004957158845235054,0.0041082432214595895
36.0,0.6490337445079882,1.8623598550918576,131.79456,131.79456,1.0,0.3557705949863317,0.5994538355894271,0.33144182813539214,0.11022977651872835,2.705369323339324,0.30859616752426444,0.7200931770795393,0.2983183330171501,0.20600809157600375,0.6609221718643401,0.21602206692649667,1.8966603834567222,0.2778909255487667,0.28465187844595463,0.5245761275291443,0.3271436527995066,0.21342407327407817,0.11389601892395189,0.003031401844065025,1.7723301465484838,0.001549907739393134,0.004569447089302593,0.0060553052205029
37.0,0.6497900245573998,1.899856320553193,135.45552,135.45552,1.0,0.3560295625933709,0.5600663194556563,0.3125388834953681,0.11022977651872835,2.723289994871103,0.31881178341074917,0.7223406188241898,0.29952079357405137,0.19307509931997618,0.6579481400432474,0.21430697894958445,1.8816020171229753,0.277841855696527,0.2852535913221929,0.5275312662124634,0.3086159088743786,0.20122572217710324,0.11389601892395189,0.0028827684859223813,1.7347669552000298,0.0014991971305526501,0.00432230225817436,0.004955088890947766
38.0,0.6531263903596803,2.0421426213772578,139.11648,139.11648,1.0,0.3555816667585343,0.5635616830789635,0.31384894921920103,0.11022977651872835,2.728889552710115,0.31500321395871655,0.7233671842982308,0.300147152935002,0.19422675326903724,0.6570367486599319,0.21435376727750127,1.8820128157475353,0.27965043695380776,0.28152753108348133,0.5323212146759033,0.30970967421152595,0.20230586333279446,0.11389601892395189,0.003007565921039342,1.8648343592249148,0.0015165163660870549,0.004559335552023626,0.005321329996648325
39.0,0.6617085698702758,3.399785100626668,142.77744,142.77744,1.0,0.35302413672764166,0.5978403544347167,0.3313303931422113,0.11022977651872835,2.7402277108418955,0.30785058029347573,0.7241565267200454,0.3015874221323805,0.205232025022108,0.6585601517058043,0.21619962081300345,1.8982192955959194,0.27760325770796973,0.28503229429935417,0.5421627759933472,0.3274140464719981,0.2136444447262695,0.11389601892395189,0.002756172833451825,1.7594105031930667,0.0014311511458706902,0.004135780454713331,0.005350539882235566
40.0,0.6514355553227907,2.1180840716899825,146.4384,146.4384,1.0,0.35167968333100125,0.589362913811023,0.3259547131803735,0.11022977651872835,2.778383496643247,0.31550039237107086,0.7267953608499886,0.3057620688651074,0.20153167700363406,0.6550486770644062,0.2149440274722865,1.8871952637414318,0.27669208770257386,0.27906976744186046,0.5416153073310852,0.32213989129375287,0.2105052043525978,0.11389601892395189,0.0026062660701146965,1.7115866346939583,0.0012988093185764577,0.003966603380145552,0.00460748782871919
41.0,0.6632623908917826,2.694928763729735,150.09936,150.09936,1.0,0.35201648892880066,0.5901753920530575,0.33453830911636034,0.11022977651872835,2.784989279925509,0.3065350147126831,0.7251728583932865,0.3065246798979135,0.20679398607411784,0.6553922308552969,0.21411557758011057,1.8799215249399985,0.27593129600713806,0.27970529135967853,0.5354709625244141,0.330919704675913,0.21528402338632907,0.11389601892395189,0.0027926359366015293,1.8874131474494789,0.0013259254376961002,0.004314497757987995,0.004368517582534051
42.0,0.6541947651995976,2.168231701979094,153.76032,153.76032,1.0,0.3558501915475275,0.5778371334657528,0.333235815743794,0.11022977651872835,2.7878840637145625,0.30805038218238445,0.728049807234624,0.30744069585804873,0.20680398891529933,0.6543417789972276,0.21256596219645735,1.86631599773814,0.27554882664647995,0.27912588818876527,0.5428352355957031,0.33014283465962607,0.2159973858951911,0.11389601892395189,0.0025844320945034634,1.7947442765398591,0.001284729091284694,0.0039270409019126875,0.006089514512200794
43.0,0.6583060018798446,2.6627304807263723,157.42128,157.42128,1.0,0.3577049268315654,0.5652447127877522,0.3275834487089617,0.11022977651872835,2.787311714667128,0.3133778806282716,0.7297990599233396,0.30738073003628036,0.20204939476061287,0.6558930794743226,0.21603779342550497,1.8967984611450985,0.27384830153559797,0.2785662033650329,0.5411232709884644,0.32421361162922424,0.21095833024474844,0.11389601892395189,0.0025176499888904897,1.799288832142338,0.0012250583619293175,0.0038510943006615597,0.005103670848258657
44.0,0.6536681745305336,2.245644556950432,161.08224,161.08224,1.0,0.3600432592525559,0.5848289747221461,0.33701841454181114,0.11022977651872835,2.8024001111570627,0.31311051333643086,0.7313007762878775,0.30871518346231214,0.20807420487964526,0.6525875287865599,0.21430010510470499,1.8815416651901826,0.2733104238258877,0.2776506483600305,0.5175195336341858,0.33384126877293346,0.21738842839293912,0.11389601892395189,0.0023834225078794703,1.747987757989904,0.0011469535505379273,0.003658279137000243,0.005112934669646144
45.0,0.6503987908643284,2.7988939761891283,164.7432,164.7432,1.0,0.357281097562497,0.5725830400167375,0.3312485459322184,0.11022977651872835,2.828149146342141,0.3161289209451509,0.7339612322898653,0.31207505218312137,0.204333102390356,0.6527374319876188,0.2147789495270673,1.8857458895949184,0.2711671780884191,0.2791842475386779,0.5812538266181946,0.3276754633264504,0.21375911866415842,0.11389601892395189,0.0023607548062032544,1.775452979869442,0.0011144126393666364,0.003641410952694783,0.005011608281056644
46.0,0.6538739077941356,2.254155034776506,168.40416,168.40416,1.0,0.360373253336262,0.5730037628398926,0.3088152523541455,0.11022977651872835,2.8302218496228604,0.3241161912506913,0.731729200934042,0.31240133573205114,0.19040556360487346,0.6544396145230087,0.21430250141146698,1.8815627046153058,0.2772378516624041,0.27999999999999997,0.5243136882781982,0.30496395198850085,0.1999708496629317,0.11389601892395189,0.0023022397208215806,1.7752652599119756,0.0010970122949400297,0.003528452542826815,0.006602583511092338
47.0,0.668332784674144,3.377276529902079,172.06512,172.06512,1.0,0.361166444487648,0.5897459769998478,0.31716710812236054,0.11022977651872835,2.848095905438664,0.3216892925603898,0.7328428865619643,0.314093379270005,0.19690314377722778,0.65548734315005,0.21493796550350905,1.8871420400305883,0.27578770815861986,0.2800333704115684,0.5298954248428345,0.3136114672804355,0.20713751358328222,0.11389601892395189,0.002425776235847004,1.9158151531082694,0.0011063965393127665,0.003770373907777774,0.005724590681622377
48.0,0.6552587909680511,2.8150112600442094,175.72608,175.72608,1.0,0.35797892357829825,0.5503768410534838,0.31154677298963335,0.11022977651872835,2.868190609773769,0.32350539750995266,0.7343092192948557,0.3160398719633469,0.19274401209194675,0.6518462577710598,0.21132674865471454,1.855435779505313,0.27599900719781584,0.2780389523169913,0.5158661007881165,0.30850588404587936,0.20305577359862081,0.11389601892395189,0.002195363120230832,1.776704855110438,0.0010533936068870505,0.0033554342421189555,0.005669830863701463
