round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_auroc,fed_auprc_lift,fed_brier,fed_f1_best,fed_f1_best_threshold,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
36.0,9.317222491705337,765.8912506470139,76.75904,76.75904,0.5412350858791136,0.22903970463985457,0.28466014049777416,0.6838095865986576,2.089482125071544,0.24013828262963902,0.31165570428241224,0.5908516958388736,0.11060749134403523,0.3812022106055385,0.345867596055637,0.08098787670772846,0.7110685471965783,0.20328345991177407,0.20470375395748533,0.49345993995666504,0.40363820213437335,0.26507124295196166,0.11389601892395189,0.003225440888317842,0.5030770555022173,,0.003225440888317842
37.0,9.050514055187891,782.3758525353302,78.74048,78.74048,0.5412350858791136,0.23120874228089167,0.2937663568814039,0.6876377476566332,2.1089451408678745,0.23394229631799587,0.3200862897931835,0.5841748374135831,0.11060749134403523,0.3738130460642477,0.3444661736806975,0.08082717346331561,0.7096575826525046,0.2028312622331467,0.20474293989862422,0.4977579116821289,0.40365405733736903,0.2651219913545831,0.11389601892395189,0.003952325507521955,0.6297903103986755,,0.003952325507521955
38.0,8.77026559254084,1012.6184893729544,80.72192,80.72192,0.5412350858791136,0.23612503844345284,0.3022672499916019,0.690850074755807,2.1607237460405004,0.22934249705193413,0.3208161322353231,0.5643950115219767,0.11060749134403523,0.3683843795255853,0.3550830977006443,0.08212641347851429,0.7210648296087496,0.20468233482769552,0.20475220638153427,0.49825555086135864,0.4052050558320409,0.26623097264355344,0.11389601892395189,0.004485673613304767,0.7277778811985627,,0.004485673613304767
39.0,8.555873630500054,836.8788601666607,82.70336,82.70336,0.5412350858791136,0.2414712211917357,0.3007879274592018,0.693611941196938,2.2115275932433307,0.24094552849101344,0.3251133263118706,0.600653383530721,0.11060749134403523,0.38395518797127604,0.3535595566108027,0.082422240563917,0.7236621731173075,0.20458042907576718,0.20472227248055003,0.4974021315574646,0.4061706890274027,0.26711734264773224,0.11389601892395189,0.004841061767992227,0.8011896151583642,,0.004841061767992227
40.0,9.447609952397448,1412.0563863879975,86.35392,86.35392,0.9971592150692714,0.22658011727891206,0.2770205796847012,0.6793707439918031,2.0716333755329943,0.2440010900086435,0.30564653161770305,0.5882817490542877,0.11060749134403523,0.3853170559377764,0.35325130442766245,0.08190453800295436,0.7191167766596112,0.20395364689843218,0.20466672696029664,0.49775588512420654,0.40380160495015616,0.26521943067390136,0.11389601892395189,0.00442156395397761,1.057732867076993,0.006552951386863081,0.0035225125148165928
41.0,9.338935604884297,893.9492526060276,88.33536,88.33536,0.5412350858791136,0.2323536672310847,0.283175960385001,0.6851858751242926,2.1292065113640883,0.24374902886290037,0.30995914509464534,0.5896265019738604,0.11060749134403523,0.38602018865317267,0.347749398893811,0.0811451471095607,0.7124493715951663,0.20188053097345132,0.20458346517199294,0.4947563707828522,0.40649190539682306,0.26782644083910795,0.11389601892395189,0.0049658496414700356,0.8499190028524026,,0.0049658496414700356
42.0,9.031603734637882,893.0138773290962,90.3168,90.3168,0.5412350858791136,0.23678620525606164,0.3009919069067691,0.6929560057249705,2.1702241980771184,0.23361302452222676,0.3253006913238058,0.5832161925388352,0.11060749134403523,0.3739008335580157,0.3524565100004824,0.081812208276314,0.7183061273716671,0.20122346834739085,0.2046225519019404,0.49531397223472595,0.40393700039862535,0.2654667036204306,0.11389601892395189,0.0037347990612554434,0.6555730960099027,,0.0037347990612554434
43.0,8.791624188645525,770.9268629356814,92.29824,92.29824,0.5412350858791136,0.24148397815551179,0.3048864247180689,0.6959505694758458,2.216404319160374,0.23371265657989995,0.33179856588724604,0.5870766115743934,0.11060749134403523,0.3743347275395944,0.3454750617545971,0.08104486306874087,0.7115688839208185,0.16100766703176342,0.20462673729005387,0.49184805154800415,0.4013506443851865,0.2634488226977698,0.11389601892395189,0.0033653386799132193,0.6024152209283784,,0.0033653386799132193
44.0,8.503217479335634,857.5510111013411,94.27968,94.27968,0.5412350858791136,0.24697638475846484,0.3070838622790551,0.6980503306361491,2.2635352133384545,0.236208871455421,0.3392037123263927,0.6026162282753411,0.11060749134403523,0.37813033515415656,0.35177658070509743,0.08194053520759344,0.7194328298893831,0.18230400806654903,0.20484711211778028,0.4940577447414398,0.40117808004091327,0.26315502906832544,0.11389601892395189,0.004105987594382962,0.7474071948672645,,0.004105987594382962
45.0,9.361407161678418,934.3929735752345,95.9488,95.9488,0.4559241291901578,0.22953431674686006,0.2819313077274189,0.6797811342818483,2.086984299746909,0.23941631420906126,0.3046760083571718,0.6003354680380583,0.11060749134403523,0.38011287100329355,0.3484976474044797,0.08170326244631325,0.7173495897241705,0.18280696502519583,0.20453723788864786,0.4864921569824219,0.4015831972585662,0.2634916390797567,0.11389601892395189,0.005757373569429738,0.4350037989206612,0.005757373569429738,
46.0,9.285115509546795,1015.5626338316026,97.93024,97.93024,0.5412350858791136,0.2303757906325715,0.2932008884581191,0.6824045899212201,2.1005810341681093,0.23128486157914166,0.3123812612544977,0.5907968518679195,0.11060749134403523,0.37014045222847947,0.3525651129558582,0.08228822189832097,0.7224854975244097,0.18666666666666668,0.20468445612286504,0.49356669187545776,0.39954255763912866,0.2616011256345873,0.11389601892395189,0.0036973115208845395,0.6852666742634028,,0.0036973115208845395
47.0,9.058886612280613,892.7258266141478,99.91168,99.91168,0.5412350858791136,0.24003593249463234,0.30095848626247923,0.6906315114407523,2.194182472045189,0.2342089094798445,0.32116040999367707,0.542794627030015,0.11060749134403523,0.37425910949444374,0.3593101044320196,0.08341188202620384,0.7323511639322333,0.2000279629025493,0.20464106391640657,0.49000751972198486,0.4009423319877882,0.2626493352554573,0.11389601892395189,0.003883039524472823,0.732883082004264,,0.003883039524472823
48.0,8.69259196068781,738.746947665318,101.89312,101.89312,0.5412350858791136,0.24128986262429097,0.30230411125597006,0.6937409623188276,2.21033188895287,0.2349222426696119,0.3241127755209645,0.5933721949065822,0.11060749134403523,0.3760346584493422,0.37050643663889743,0.08719459568803055,0.7655631558663185,0.19459866378093535,0.20452799493876814,0.4845075011253357,0.40026885012632596,0.262022897557762,0.11389601892395189,0.0037006260159699205,0.7101690925192088,,0.0037006260159699205
49.0,8.660480331157613,774.0719662658778,103.87456,103.87456,0.5412350858791136,0.2468646786004083,0.3069109271644241,0.697526986264033,2.2654444905680795,0.2332483648738743,0.3322264615867734,0.5529737519043438,0.11060749134403523,0.3739568338178034,0.35108767855171696,0.08176385041606127,0.7178815483502966,0.19181275190598748,0.20467306647346495,0.4918504059314728,0.4030455607200726,0.2646760812670577,0.11389601892395189,0.004205350054507586,0.8200909203151241,,0.004205350054507586
50.0,9.304454513934779,903.3751711672576,107.52512,107.52512,0.9971592150692714,0.22963783750472683,0.28155395439121883,0.6831933435753649,2.0956134876350845,0.23999770638952106,0.3099300722424115,0.5913287761416267,0.11060749134403523,0.3804854561519352,0.3472361263175606,0.08151430780011831,0.7156905796202169,0.16819555649822365,0.2045002711006687,0.46490153670310974,0.40051876549014226,0.26272734163087613,0.11389601892395189,0.003659604910547761,1.0212894049473107,0.005270402430404573,0.0030133306552498403
51.0,9.257554487180697,1122.5997169955485,109.50656,109.50656,0.5412350858791136,0.23143092389034978,0.2866459686753761,0.6844877452147683,2.1174103936169493,0.243487933025579,0.31307615980578873,0.6002080512076831,0.11060749134403523,0.38605124999938767,0.35827254086088944,0.0838985627057062,0.7366241901898702,0.16293702467582208,0.2045002711006687,0.4664757549762726,0.3972634885045217,0.25978963687747686,0.11389601892395189,0.0031278841316254792,0.6317532681277953,,0.0031278841316254792
