round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc,fed_ece,fed_f1_best_threshold,fed_auroc,fed_brier,fed_f1,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
31.0,0.09990377403080636,6.2568992673586274,642.601728,642.601728,0.9991046702896288,0.9869565217391303,0.999598414188537,0.1698232255552126,0.3181628882884979,0.9706314243759178,0.05138006091426123,0.9752808988764043,1.0128089659179011,0.9956140350877194,0.4473799365496116,0.9667929283838799,0.9997007846362451,0.9832657200811359,0.9832657200811359,0.509096622467041,0.4578156255129864,0.241429904312154,0.9670822942643391,0.00015475351905169392,0.09471377968131378,4.4994419871806875e-05,0.00017262442705610027
32.0,0.12725191307692113,22.752063646391054,663.330816,663.330816,0.9991046702896288,0.9869565217391303,0.9999226269182432,0.23302029844211494,0.1439959704875946,0.9941262848751836,0.10438817012527991,0.919047619047619,1.013137463397339,0.9956140350877194,0.5014612343132199,0.9730233794268913,1.0061433087936653,0.9832657200811359,0.9832657200811359,0.5094711780548096,0.4574801617132458,0.24112229040289182,0.9670822942643391,0.00019960366551824806,0.12226506560574535,8.015654977587719e-05,0.00021903878797085186
33.0,0.11666712204816049,22.222130961790796,684.059904,684.059904,0.9991046702896288,0.9869565217391303,0.9994773322925408,0.4951222923786744,0.14878547191619873,0.9618208516886931,0.28132612154872405,0.6954022988505747,1.012686283820636,0.9934354485776805,0.4578820697954272,0.968308934653287,1.0012683929756785,0.9832657200811359,0.9832657200811359,0.5095933675765991,0.45736942127755753,0.241021322237177,0.9670822942643391,0.00024247355075586116,0.1486268066635148,7.558277859591853e-05,0.00026961377206651514
34.0,0.09530759395542245,11.11748698738753,704.788992,704.788992,0.9991046702896288,0.9869565217391303,0.9997458629028069,0.3282893922341907,0.10081835836172104,0.9809104258443465,0.16323982445357285,0.8447837150127226,1.0129583632935928,0.9956140350877194,0.40661775048056636,0.9623733679550535,0.9951307904847253,0.9832657200811359,0.9832657200811359,0.5096272826194763,0.45723409643791557,0.24089827604999506,0.9670822942643391,0.00016380138011713483,0.10048247283981482,9.260505650965049e-05,0.00017537168933365947
35.0,0.10571195056419162,15.78867849731148,725.51808,725.51808,0.9991046702896288,0.9869565217391303,0.999470406797902,0.2384549175591573,0.1353035867214203,0.9618208516886931,0.1094519499828438,0.9060240963855422,1.0126792667996365,0.9956140350877194,0.32690233953771863,0.953257373301128,0.9857045041097275,0.9832657200811359,0.9832657200811359,0.5097459554672241,0.4570716129276817,0.24075052934727226,0.9670822942643391,0.00022389231456534757,0.1374446258243438,9.871638780515448e-05,0.0002442249146941137
36.0,0.1137373779038963,8.028165884598877,746.247168,746.247168,0.9991046702896288,0.9869565217391303,0.9998840699252604,0.047732545111490304,0.446557730436325,0.9911894273127754,0.01517419026139666,0.9934065934065934,1.013098396840572,0.9956140350877194,0.3669651647990998,0.9585029591572389,0.9911286400774957,0.9832657200811359,0.9832657200811359,0.5098021626472473,0.4570950036631558,0.24077102708518305,0.9670822942643391,0.00013696164669129714,0.08414276779242869,4.278474732878933e-05,0.00015225161588236293
37.0,0.12007867883127761,19.18290318188219,766.976256,766.976256,0.9991046702896288,0.9869565217391303,0.9998460154729987,0.05314755180607668,0.39175164699554443,0.9882525697503671,0.017154912570104965,0.9911894273127754,1.013059839466034,0.9934354485776805,0.4238829762295466,0.9638592817895848,0.9966672820980493,0.9832657200811359,0.9832657200811359,0.5094625353813171,0.45748530239832963,0.24112744972580924,0.9670822942643391,0.00015404232805775993,0.09470241744637065,5.651085730640521e-05,0.00016986881654103685
38.0,0.10546497719740187,17.260417283405168,787.705344,787.705344,0.9991046702896288,0.9869565217391303,0.9997671716862323,0.05050142355587173,0.48100769519805914,0.9823788546255506,0.01528891854680498,0.9912280701754386,1.012979953690896,0.9934354485776805,0.36605091659243283,0.9583639638634118,0.9909849136390618,0.9832657200811359,0.9832657200811359,0.5093262195587158,0.4576076238827217,0.24123980436193812,0.9670822942643391,0.00020513086743486966,0.1262065670426864,9.468085676307789e-05,0.00022304426986846773
39.0,0.09845157660774458,5.170998732814441,808.434432,808.434432,0.9991046702896288,0.9869565217391303,0.9998254043086434,0.41660977446514635,0.18991869688034058,0.9867841409691631,0.20454183291888253,0.8358974358974359,1.0130389559074362,0.9934354485776805,0.4155883226280338,0.9657060637908098,0.9985769251679081,0.9832657200811359,0.9832657200811359,0.5092533826828003,0.45768907061241504,0.24131402575672573,0.9670822942643391,0.0002003424375210964,0.1233473815624393,9.895157270809343e-05,0.00021677773891394091
40.0,0.11435345740054388,20.820058437204665,829.16352,829.16352,0.9991046702896288,0.9869565217391303,0.9992668849350242,0.12131158741919895,0.24974398314952853,0.9456681350954479,0.05526907366074324,0.951501154734411,1.0124730552205092,0.9934354485776805,0.4967102692734462,0.9728268233081212,1.005940062265489,0.9832657200811359,0.9832657200811359,0.5094196796417236,0.4575277935537019,0.24116562474024816,0.9670822942643391,0.00017292926734369712,0.1065517393296318,6.508775208139404e-05,0.00019040035028862115
41.0,0.1215240693268951,12.919455190454897,849.892608,849.892608,0.9991046702896288,0.9869565217391303,0.9997091230593519,0.09259868925032405,0.2372036278247833,0.9779735682819383,0.037312398533580225,0.9774774774774775,1.012921137901546,0.9934354485776805,0.5214301342460187,0.974312931634701,1.0074767549910137,0.9832657200811359,0.9832657200811359,0.5095134973526001,0.4574434114215974,0.24108831208552844,0.9670822942643391,0.00016827615899099626,0.10376048368715374,6.357746574493672e-05,0.00018522902163804674
42.0,0.09983626393231884,7.734800372264895,870.621696,870.621696,0.9991046702896288,0.9869565217391303,0.9999806785686686,0.16006622567124984,0.1771593987941742,0.9985315712187959,0.056350314748552385,0.951501154734411,1.0131962822501928,0.9978021978021978,0.4732289371278542,0.9715204828781151,1.0045892564056838,0.9832657200811359,0.9832657200811359,0.5096273422241211,0.45731808030397214,0.24097403431581263,0.9670822942643391,0.00016596665199230853,0.1024129016752795,6.27560807167484e-05,0.00018266980079020373
43.0,0.08650292956917666,5.814195861737646,891.350784,891.350784,0.9991046702896288,0.9869565217391303,0.999923133195575,0.1446622483756231,0.20830038189888,0.9941262848751836,0.05422719723528651,0.9563218390804598,1.0131379763655608,0.9955947136563877,0.4693844062075109,0.9697565654440018,1.002765298460662,0.9832657200811359,0.9832657200811359,0.5095071792602539,0.4574389048942603,0.241084658162968,0.9670822942643391,0.00015034123299744782,0.0928382502089562,5.48790093637315e-05,0.00016578288009352449
44.0,0.08168237771364036,4.160105242102849,912.079872,912.079872,0.9991046702896288,0.9869565217391303,0.999961525883462,0.06361494336439215,0.3820548951625824,0.9970631424375918,0.018418750320621333,0.9866071428571429,1.0131768764457985,0.9977924944812361,0.5534092862612718,0.9758420884052523,1.009057961450506,0.9832657200811359,0.9832657200811359,0.5094909071922302,0.45745596609210726,0.2410996628142042,0.9670822942643391,0.00014561663024955724,0.0899892694927189,4.4220358737990885e-05,0.00016200916917846997
45.0,0.1106216872020755,22.61638724769945,932.80896,932.80896,0.9991046702896288,0.9869565217391303,0.9999425397433443,0.022161539741184438,0.7505056858062744,0.9955947136563877,0.007144936182578013,0.9912280701754386,1.0131576393875295,0.9977924944812361,0.534405426102177,0.9741082117306923,1.007265066797338,0.9832657200811359,0.9832657200811359,0.5095703601837158,0.4573830649739786,0.24103312960911463,0.9670822942643391,7.92318051401085e-05,0.04900028960560121,2.9525443121818352e-05,8.72634385473608e-05
46.0,0.09452105324134626,8.44926491696075,953.538048,953.538048,0.9991046702896288,0.9869565217391303,0.9998833814109361,0.021634358426798964,0.40940007567405695,0.9911894273127754,0.008120003335915449,0.9955947136563877,1.0130976992269396,0.9956140350877194,0.4708417334771126,0.9692972542178176,1.0022903531236331,0.9832657200811359,0.9832657200811359,0.5093912482261658,0.45753908472465454,0.24117648456158003,0.9670822942643391,0.00020717143687345432,0.1282127422369399,8.138808104310907e-05,0.00022748560422659907
47.0,0.11832336310575481,24.887679764151343,974.267136,974.267136,0.9991046702896288,0.9869565217391303,0.9999030478678271,0.030048475446908387,0.23073022067546842,0.9926578560939795,0.012738865247144269,0.9889135254988913,1.0131176255929526,0.9956140350877194,0.4590307406191883,0.9688999257636934,1.0018795003384247,0.9832657200811359,0.9832657200811359,0.5095035433769226,0.45741603071255577,0.24106402732603427,0.9670822942643391,0.00011364832814683384,0.07038553601103104,5.243934110810006e-05,0.00012352843694693252
48.0,0.09753779667472348,13.722959889504631,994.996224,994.996224,0.9991046702896288,0.9869565217391303,0.9998636267636553,0.38591659531888106,0.015432730317115784,0.9897209985315712,0.23487060495019682,0.8115183246073299,1.0130776835050253,0.9956140350877194,0.48118367793458044,0.9674479756467693,1.000378128505298,0.9832657200811359,0.9832657200811359,0.5095480680465698,0.45735169229959305,0.24100498911704676,0.9670822942643391,0.00023529444283150856,0.1458225401632376,9.551540715621709e-05,0.0002578460190092285
49.0,0.09594563127840826,8.932179129961918,1015.725312,1015.725312,0.9991046702896288,0.9869565217391303,0.999627044135385,0.33269367392944255,0.13598129153251648,0.972099853157122,0.16172681365859934,0.8649999999999999,1.0128379742340905,0.9934354485776805,0.4283604482160439,0.9619896587550143,0.9947340205280061,0.9832657200811359,0.9832657200811359,0.5094874501228333,0.4573833300585758,0.24103474255082355,0.9670822942643391,0.0003210327715230328,0.19911893653829793,0.00012988002471876756,0.00035185928841960655
50.0,0.1015008823036362,18.856025185525965,1036.4544,1036.4544,0.9991046702896288,0.9869565217391303,0.9999806785686686,0.13215808528273001,0.15778939425945282,0.9985315712187959,0.045899559546999376,0.9751693002257338,1.0131962822501928,0.9978021978021978,0.42867691874912095,0.9631841822705934,0.9959692034309128,0.9832657200811359,0.9832657200811359,0.5096648335456848,0.4571743837318515,0.24084381217646458,0.9670822942643391,0.00011901247912406931,0.07388465700856273,4.0214695610457376e-05,0.00013171381673429886
