round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_auprc,fed_ece,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
31.0,0.6386490559639746,0.6350638452141106,113.48976,113.48976,1.0,0.2969128812758594,0.11544029709825639,2.2634673280278297,0.5477112703174942,0.6822434595854908,0.2585057142949708,0.3243713551235219,0.3238407712235063,0.2064012667237193,0.6591489719815419,0.21014657381693794,1.8450739174408926,0.2744678320846712,0.2759685931265285,0.5187669992446899,0.3243618710885722,0.20847133403238963,0.11389601892395189,0.00352657889550209,0.5067008096430072,0.0037540700313033076,0.003353742985791688,0.002019047318008084
32.0,0.6366160126186805,0.5572899137323514,117.15072,117.15072,1.0,0.2969932417633689,0.11544029709825639,2.2580464537392317,0.5396459632964506,0.6831864817361144,0.2576735497379023,0.32232346611106005,0.3239121302010398,0.20510239616180004,0.65984801409193,0.21269899088244765,1.8674839813713442,0.27562008469449484,0.27818831942789035,0.49655234813690186,0.3219367686104682,0.20698767946745292,0.11389601892395189,0.0034516508093434635,0.5014009897931828,0.003558277088292031,0.0033808005198424666,0.0018843753238995803
33.0,0.6361671561857872,0.6182530428109941,120.81168,120.81168,1.0,0.2975641607376937,0.11544029709825639,2.2649069058746463,0.549984144235547,0.6847772449462496,0.2583578046174754,0.31985701050822957,0.3252673745621639,0.20294163506871563,0.6593225308991346,0.21245648081315546,1.8653547579657914,0.27511630831132905,0.2773892773892774,0.5351665616035461,0.3196520874033673,0.205098867364857,0.11389601892395189,0.003533669159262028,0.5198639194932184,0.003619764634394265,0.0034823785017857782,0.001793765363798053
34.0,0.6409545023753016,0.676485048931897,124.47264,124.47264,1.0,0.29797676150615204,0.11544029709825639,2.2844614619635513,0.5435997862463787,0.6866024124691972,0.2607593029277209,0.3148266022471879,0.32902430070187005,0.2000004273873506,0.6579850228819173,0.21185968173347908,1.8601148989670773,0.27670576365241517,0.27770021576342174,0.501358151435852,0.31470654340564674,0.2026082472811797,0.11389601892395189,0.0035364430159525112,0.5262554339187773,0.0035169823555523927,0.0035717772006416694,0.0021575458697086643
35.0,0.636218315115751,0.6505098517514855,128.1336,128.1336,1.0,0.29472616505331317,0.11544029709825639,2.3017899926577896,0.5536003816234327,0.6876548650861857,0.26246612824646043,0.3381851793888749,0.32709049745646673,0.21551576773012152,0.6571911571141661,0.21138683226056937,1.8559633098476591,0.2735774647887324,0.2760969220694171,0.538123607635498,0.337937404135689,0.2181586542690415,0.11389601892395189,0.0034188951696056654,0.514658500045698,0.0034844617828673286,0.003382930953295774,0.0018093288036712092
36.0,0.6361511761628426,0.666781466233205,131.79456,131.79456,1.0,0.3016098562354045,0.11544029709825639,2.3172127111237186,0.5412286304070153,0.6895842529421587,0.26431648484447795,0.3258732159607299,0.32659363072893843,0.20586638564421153,0.6565045013126476,0.21132760069191056,1.8554432603391828,0.2748993963782696,0.27555668016194335,0.501951277256012,0.3257844630377396,0.20883124973994868,0.11389601892395189,0.0033506729474181924,0.510211851564236,0.0033355405432287564,0.003382528556763886,0.002003368991522558
37.0,0.6427197261506568,0.7336763808669098,135.45552,135.45552,1.0,0.30294981713548114,0.11544029709825639,2.3336569731763537,0.5699395301070079,0.690924067706841,0.26605482925509616,0.33421097949354506,0.3277604243314068,0.21127937174665423,0.6557690783416592,0.20953883000960463,1.8397379644104437,0.27522719225775993,0.27657572906867356,0.4990919232368469,0.3342246785924919,0.21450210569509942,0.11389601892395189,0.003275539789538052,0.5044152465288789,0.0033041865078067283,0.0032722363384000996,0.0016522360451601786
38.0,0.6410298288366717,0.7734350099215579,139.11648,139.11648,1.0,0.2988314574050988,0.11544029709825639,2.382051528065951,0.5705206800289012,0.6923419386425482,0.27154046768483714,0.3344335699634621,0.3299750364410296,0.2118518025372136,0.6559440804462022,0.2075420722237183,1.8222065545793453,0.27213774597495527,0.2764146219328994,0.5245129466056824,0.3347695143071675,0.2154957330604083,0.11389601892395189,0.003603689429100265,0.5615125189560786,0.0034878307462754476,0.003737972268599783,0.0014800934830182305
39.0,0.6355224117071161,0.7167738574988993,142.77744,142.77744,1.0,0.29775985543678074,0.11544029709825639,2.3632577261988152,0.5631566172452901,0.6926471848266285,0.26947197742795775,0.336185655212803,0.33133152397957816,0.21281650587027579,0.6555335376819125,0.20961364679151212,1.8403948511270676,0.2716049382716049,0.2764649638027592,0.5421566963195801,0.33633119037742426,0.21624251921537635,0.11389601892395189,0.0035891454721441846,0.5661000152122142,0.003428333154591441,0.0037630066857872796,0.0016956570214110382
40.0,0.6322811581002936,0.7122146480271255,146.4384,146.4384,1.0,0.30123202160190204,0.11544029709825639,2.354576030374606,0.5789907989469987,0.6945345609135354,0.2682746420916992,0.33021968911296573,0.3341112625140368,0.21004986447608398,0.6557681245833269,0.20878621990705035,1.8331300942700766,0.27306108823856684,0.2775791938863552,0.5210822820663452,0.33037504469310697,0.21395345982170533,0.11389601892395189,0.0035951836697735344,0.5742840532575428,0.003398276510609473,0.0038029683907039704,0.00178374537413911
41.0,0.6356268973273712,0.7927644817221766,150.09936,150.09936,1.0,0.3018743756032005,0.11544029709825639,2.3751089487097774,0.5619462643034651,0.6957206405139842,0.2708546383589237,0.3316636878680295,0.33453111353383136,0.20927160863043737,0.6545253398278587,0.20823191376679506,1.8282633206506633,0.2755210173083716,0.27693437806072474,0.5084864497184753,0.3318796646723846,0.2133109446588133,0.11389601892395189,0.0034818954192127106,0.5631630347743339,0.0033461316588620283,0.003639018663565906,0.001376919724841228
42.0,0.6370467173435198,0.7454633237444324,153.76032,153.76032,1.0,0.29535883527383217,0.11544029709825639,2.3795870153469485,0.5870241717075305,0.6967191688685257,0.2716221371904377,0.35395616802727586,0.3347512784014819,0.2255897365776371,0.6542021286982419,0.20835497596572627,1.8293437991440633,0.2698183319570603,0.27825213460572573,0.5509644746780396,0.35416668946576574,0.22986806961333828,0.11389601892395189,0.0032861288437466144,0.5382647534934222,0.0030520401409459084,0.0035304282859789935,0.0016259134331095605
43.0,0.63715117535549,0.8510024748738936,157.42128,157.42128,1.0,0.30194249588865324,0.11544029709825639,2.404289885475966,0.5565271923804948,0.6979116022749936,0.27413918985301255,0.32258653054670994,0.33525152251311197,0.20481267116611732,0.655864742812289,0.20634815219657707,1.8117240106026467,0.2758058885139067,0.2773772742876759,0.4958280920982361,0.3227661370423361,0.2094502960906475,0.11389601892395189,0.003402583506629139,0.5637497889401857,0.003236588718702772,0.0035846065334274703,0.0017528349019542595
44.0,0.6370468903936829,1.0304905753654912,161.08224,161.08224,1.0,0.3021728653264512,0.11544029709825639,2.446113329684269,0.5694388570205944,0.7001242832068092,0.27909874138708707,0.3228243228043161,0.3374723011967512,0.20534936343164695,0.6549402498013548,0.20524776599441416,1.802062687822808,0.27491722799406326,0.2791145332050048,0.5441806316375732,0.323092572496029,0.21046577786402323,0.11389601892395189,0.00351315438008822,0.5890251491582603,0.0033280525763713133,0.0037158946463769628,0.0018141373926301887
45.0,0.6340825857331176,0.9509753510218042,164.7432,164.7432,1.0,0.31516969182499055,0.11544029709825639,2.4546989725138024,0.5303200251630518,0.7007365279869795,0.27977773209555756,0.29906554753725806,0.3373860222483291,0.18978245715110797,0.6528036428950099,0.20667120781154508,1.814560418916301,0.27409800753904145,0.2763477416221467,0.4757441580295563,0.29929038866506175,0.1950432975256669,0.11389601892395189,0.0036377533324316257,0.6184375435132097,0.003352421189970689,0.003944542651253127,0.001597878841581695
46.0,0.6397488838768631,1.0464361819600696,168.40416,168.40416,1.0,0.3099533687381413,0.11544029709825639,2.464432539584447,0.5590945931962011,0.6998191868485433,0.28099207269828963,0.3192360841561806,0.3385322434912065,0.20213791027485378,0.6526904593897482,0.20410422730655148,1.7920224888881446,0.27264925830574965,0.2755894779882786,0.5267865657806396,0.3194365863658245,0.20729066902032034,0.11389601892395189,0.0036716543194569564,0.6318592497655118,0.0032778176358775756,0.0040859815894319935,0.0017000175426082884
47.0,0.6356231164684792,0.951899495505834,172.06512,172.06512,1.0,0.30472203322264657,0.11544029709825639,2.4886249731986325,0.5642522524754109,0.7026715561836389,0.28395382115212126,0.322933480549209,0.338497952810672,0.20465846826160974,0.6536270375227101,0.2058483490645849,1.807335770023967,0.2736693358455016,0.27690288713910766,0.5278592705726624,0.3231111380353033,0.2099863476310798,0.11389601892395189,0.0035156431447406493,0.612359344620927,0.003211017237497007,0.003844675881328534,0.0016040500378261503
48.0,0.6340789717176623,0.9335300856429776,175.72608,175.72608,1.0,0.3112716233992477,0.11544029709825639,2.510298822873457,0.5572655973788916,0.7014189477637396,0.2856377160364334,0.309004556340062,0.34099501245681363,0.19509102766604086,0.6518167289111106,0.2038427163766428,1.789726439101863,0.2731411229135053,0.2778108268887567,0.5406298041343689,0.30917630656729456,0.20035401571933584,0.11389601892395189,0.0034556044332718005,0.6091842812402319,0.003142786534445415,0.0037938067711871847,0.0016332433978813838
49.0,0.6429476922307411,1.0346084302353928,179.38704,179.38704,1.0,0.30330036958604223,0.11544029709825639,2.4977169229864167,0.5718675517593926,0.7017554234517192,0.28523110992585893,0.33436446451436214,0.34123754445372584,0.21115524297962168,0.6523414089389945,0.20258751039442494,1.7787058082310336,0.27144456886898094,0.2771420597264862,0.5532035827636719,0.3347954346145745,0.21662335201278154,0.11389601892395189,0.0032649495630550545,0.5826291346929793,0.0029527301219853187,0.0036084928153428783,0.0013400658685366416
