round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1_best_threshold,fed_brier,fed_ece,fed_prevalence,fed_auprc,fed_auroc,fed_auprc_lift,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
40.0,0.5880663538802957,0.8548931191234285,64.97792,64.97792,0.0,0.37719280263571253,0.6093897884935572,0.20665644556800272,0.3317592749058479,0.11469218179529145,0.3225671967140716,0.74306573195017,2.9004111003206794,0.32984156604215314,0.6629516190022594,0.22583428933761646,1.9828110891953608,0.2701768652165074,0.28891064186827015,0.5126103162765503,0.3801652516171691,0.24233135895484637,0.11389601892395189,0.0,0.0,,
41.0,0.6388760491459785,1.0201604908545399,68.62848,68.62848,0.9971592150692714,0.33153904096673475,0.5590229432794919,0.20803793407834104,0.328580347183507,0.11469218179529145,0.26308339679450604,0.6946300316524242,2.323346697163751,0.2972163905928992,0.6622066835468505,0.22791423726950336,2.0010729033618038,0.268253650730146,0.2892115001423285,0.515849769115448,0.3781610837420829,0.24070152261084432,0.11389601892395189,0.005155893099939593,1.4448893184307963,0.004201156315383885,0.005847592192951252
42.0,0.6376161527225312,1.0090495644529098,68.62848,68.62848,0.0,0.35742530638628395,0.580310864855942,0.2055069665681467,0.3289610874144651,0.11469218179529145,0.29115750573539656,0.7181374076239208,2.5979959859314077,0.315665674248211,0.6622066835468505,0.22791423726950336,2.0010729033618038,0.268253650730146,0.2892115001423285,0.515849769115448,0.3781610837420829,0.24070152261084432,0.11389601892395189,0.0,0.0,,
43.0,0.6123605727746948,0.9297477251204651,70.60992,70.60992,0.5412350858791136,0.36906158267696054,0.6040745882131464,0.21240796120679042,0.34043810677428665,0.11469218179529145,0.303040507454009,0.7292622508189759,2.714624705564329,0.31956157304344285,0.66204070449811,0.22748973704665432,1.9973458176668026,0.26632970451010884,0.2884074282498593,0.5175814628601074,0.38058259436124114,0.2424271845710777,0.11389601892395189,0.0059622656087876934,1.0022633310873061,,0.0059622656087876934
44.0,0.5891279821451366,1.0301220528090498,70.60992,70.60992,0.0,0.3806648466709285,0.6153277166785273,0.2153134622896249,0.34420214624352957,0.11469218179529145,0.3245268705643706,0.7445914352463611,2.9220811785564607,0.33060500197275333,0.66204070449811,0.22748973704665432,1.9973458176668026,0.26632970451010884,0.2884074282498593,0.5175814628601074,0.38058259436124114,0.2424271845710777,0.11389601892395189,0.0,0.0,,
45.0,0.6388000724757391,1.1635064988389805,74.26048,74.26048,0.9971592150692714,0.3274813847228314,0.5607997917204468,0.20816792609638754,0.33078099690550306,0.11469218179529145,0.26621943444876445,0.6968668227764686,2.3497550440671895,0.29781830842473495,0.6612636047978863,0.2257611535709326,1.9821689616884046,0.2662232779097387,0.2871376811594203,0.5204408168792725,0.3809940473495417,0.24287963271632218,0.11389601892395189,0.004996635920035304,1.4922568954061717,0.004072894421995345,0.005660541575717604
46.0,0.639209965924716,1.043314732319891,74.26048,74.26048,0.0,0.3497046314592908,0.6077095038994694,0.22068193289944693,0.34900470155189367,0.11469218179529145,0.2889995270551313,0.7179945293165951,2.5835606947612404,0.3043217393411298,0.6612636047978863,0.2257611535709326,1.9821689616884046,0.2662232779097387,0.2871376811594203,0.5204408168792725,0.3809940473495417,0.24287963271632218,0.11389601892395189,0.0,0.0,,
47.0,0.6099768554490128,0.9210624774452469,76.24192,76.24192,0.5412350858791136,0.3642519621617415,0.5773891775742085,0.19674323626593887,0.3170425948398109,0.11469218179529145,0.30748311428950764,0.7334101248132587,2.750830806697638,0.33335067769143817,0.6604547047869482,0.22483265006627687,1.9740167583591934,0.26942592776838126,0.2874737578726382,0.5140190124511719,0.3788760634332954,0.2413580582048192,0.11389601892395189,0.005168905093692741,0.9283332254271954,,0.005168905093692741
48.0,0.5924085015856748,1.0640724661775836,76.24192,76.24192,0.0,0.3795438590420502,0.6064070701884275,0.20228220885424184,0.3233639231850922,0.11469218179529145,0.32410586064128577,0.7481108315307349,2.9126694310604764,0.33597057052157114,0.6604547047869482,0.22483265006627687,1.9740167583591934,0.26942592776838126,0.2874737578726382,0.5140190124511719,0.3788760634332954,0.2413580582048192,0.11389601892395189,0.0,0.0,,
49.0,0.6401820141598338,1.2249030396930811,79.89248,79.89248,0.9971592150692714,0.32857807065252126,0.5561653165643616,0.19442130923776765,0.30530870864600457,0.11469218179529145,0.26765895635632414,0.6988170220835324,2.358298361882982,0.30728778588864675,0.6584609859381386,0.22305488718465286,1.9584081102394466,0.266968771549601,0.2878208629164391,0.5140164494514465,0.37921679426411914,0.24171773141935288,0.11389601892395189,0.004530006361574715,1.4375184061937034,0.003644285148997818,0.005161971688982365
