round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_brier,fed_auprc,fed_f1_best_threshold,fed_f1,fed_auroc,fed_prevalence,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
38.0,0.6632518508433677,3.7032543331830943,139.11648,139.11648,1.0,0.32376676235509494,0.20387627327528557,0.314409532581806,0.5678530184637307,0.3061914973673411,0.7184639213781553,0.11443318436457478,2.7748276969666854,0.34972427897544267,0.6409434321415253,0.19412173228530588,1.7043768001664792,0.263819374930486,0.2671976828385228,0.5137778520584106,0.32341322526063704,0.21275405681147283,0.11389601892395189,0.0028270166822946985,1.819883092894088,0.0014739388505830974,0.004234156398095258,0.003972241856604532
39.0,0.6585077814580622,2.399163648950971,142.77744,142.77744,1.0,0.32468470013065914,0.2040707914869758,0.3138507203500738,0.5794210793718844,0.3118738879672415,0.7202057552324534,0.11443318436457478,2.75063087543855,0.34767978272981215,0.6389619364587124,0.19702909763746385,1.7299032880949046,0.2584451642757982,0.26476578411405294,0.5274254679679871,0.3242033471673036,0.21329022056474045,0.11389601892395189,0.00268240446095402,1.7786588888611732,0.0014024045265674022,0.004009845947344688,0.004130182822981428
40.0,0.6584878307677297,2.7714030983697437,146.4384,146.4384,1.0,0.3230037372221354,0.20391363180369715,0.3121386108942129,0.5698943680706037,0.30952421251708495,0.7210680257200717,0.11443318436457478,2.735411896570387,0.34890796308548744,0.6397085786395581,0.19851539184589545,1.742952859295668,0.26043829296424453,0.2661311914323962,0.5264896750450134,0.32259170794200576,0.21353663992798583,0.11389601892395189,0.002630075794650245,1.7938805173944274,0.00135854317485644,0.003947849119712619,0.004181411000233601
41.0,0.6678145070754373,3.214098983464826,150.09936,150.09936,1.0,0.32670009830002544,0.2052762317258551,0.3133777460144488,0.5645541974162861,0.30721059486045166,0.7204826828425007,0.11443318436457478,2.757695465908698,0.350437417656916,0.6366127041915017,0.19603952683565862,1.7212149176746359,0.25735039778623314,0.26002248032971154,0.5125412344932556,0.32508906556745837,0.2146328955479341,0.11389601892395189,0.0025143063207967798,1.7597335701320844,0.0012941266507176233,0.0037764466595549767,0.0047846437597413955
42.0,0.6661974242373735,3.4357988975801534,153.76032,153.76032,1.0,0.34057997161612874,0.21536845502465946,0.31530666799293927,0.5874468447102273,0.2993806192663874,0.7210296323508466,0.11443318436457478,2.762431194577236,0.35212453346192024,0.6385831814556853,0.19597408851142709,1.7206403732362106,0.25856307435254805,0.2629619020338012,0.5545135736465454,0.3405969239784769,0.22498335731178531,0.11389601892395189,0.002500491300701619,1.7996884394597146,0.001271463043268596,0.0037701712819458804,0.004466329770688217
43.0,0.6653467818545625,5.02279580826495,157.42128,157.42128,1.0,0.3118091661150883,0.1969747402394305,0.31455555300876376,0.5567644907818977,0.31354389030669033,0.7238190130674199,0.11443318436457478,2.7588578758233333,0.3503928070448047,0.6370646475970887,0.19460848071229886,1.7086504212428926,0.2608174517559631,0.2635619886721209,0.5088477730751038,0.3121102572976224,0.20744011497754367,0.11389601892395189,0.0023904581908492776,1.7687705584721698,0.001233483986759421,0.003580933185078666,0.0047206943934803795
44.0,0.6629823069973061,3.46182173410127,161.08224,161.08224,1.0,0.3046159797663782,0.1937640166095067,0.3190203067898482,0.5631760118344307,0.3153547426088947,0.7242968914962579,0.11443318436457478,2.7867565435341155,0.35202350470972693,0.6363517508919774,0.19385320159265532,1.7020191172975998,0.2612118320610687,0.26189320388349513,0.5029326677322388,0.3045118794453854,0.20494876466296072,0.11389601892395189,0.002307760858644281,1.7527362313812773,0.0012037967441546362,0.0034424950633287128,0.0053656770912942665
45.0,0.6776845852046348,4.638700297756666,164.7432,164.7432,1.0,0.31264804376619565,0.1957627081484249,0.32018703032456985,0.5516668901596853,0.32430180809094067,0.7260946527566042,0.11443318436457478,2.8050365824775305,0.3546844918144614,0.6364827295198092,0.19468209247739438,1.7092967279864555,0.25885900980145765,0.2614452423698384,0.48111873865127563,0.31146246380118053,0.20584136823164956,0.11389601892395189,0.0024101290501162454,1.8771621768737532,0.0012415021557092135,0.003613306470234286,0.0038415508804650576
46.0,0.6785079347720359,3.806427219004418,168.40416,168.40416,1.0,0.3209536866255022,0.20117772179515023,0.3181224863429797,0.5745089927898926,0.31586318091769966,0.7274797491102898,0.11443318436457478,2.7745445410168346,0.3579060372832276,0.6354792377101589,0.19359627768584614,1.6997633412903566,0.2601279317697228,0.26268922528940336,0.4895252585411072,0.31998262372095376,0.21139780530022445,0.11389601892395189,0.002199636661002828,1.7581149260877282,0.001119754146520388,0.0033097008243178354,0.0038601668953385554
47.0,0.6860341041007654,5.491823822750144,172.06512,172.06512,1.0,0.31955524249115574,0.20037595244433853,0.3200208592997214,0.5678008617306247,0.31508317638255695,0.7293317002448871,0.11443318436457478,2.7984881404539865,0.3599242192448239,0.6329285114457777,0.19476797737266996,1.710050792053725,0.25858070500927643,0.2599792936845738,0.49845585227012634,0.31976054348587907,0.21156595991301153,0.11389601892395189,0.002172698448607906,1.779833038464858,0.0010686889721226451,0.003300035591657424,0.006272519697858107
48.0,0.6806294294840197,4.266107382204369,175.72608,175.72608,1.0,0.3131299277550135,0.19615860938114116,0.3223693420924718,0.5463713372624855,0.3203198616600938,0.7287981645367188,0.11443318436457478,2.8237132915050087,0.35886139758658864,0.6361209037271822,0.1936797637469897,1.7004963437423501,0.26009501187648454,0.26195474690926057,0.49619343876838684,0.3134381523371234,0.2067506560888022,0.11389601892395189,0.0021021757453343853,1.768089382447215,0.0010483784555350823,0.003179068142971465,0.003739551812638975
49.0,0.6727609698329708,3.805123747167541,179.38704,179.38704,1.0,0.3186345939400385,0.2004284979484113,0.3228318261110216,0.5510192954132057,0.31646228983916525,0.7309936512314738,0.11443318436457478,2.8255912582819684,0.35778590936048266,0.6360350278289113,0.19359936917184414,1.6997904843461649,0.25999091734786556,0.2625658209669698,0.5093061923980713,0.3189775293836024,0.2114511719693429,0.11389601892395189,0.0019154117033092575,1.6497699072569958,0.0009313371559048051,0.002919115986556767,0.0033837121414663877
50.0,0.6848091777207593,4.814506498062273,183.048,183.048,1.0,0.303967125242157,0.1926042859557936,0.32067954213756794,0.5605224725031347,0.32072440499224447,0.7308084545444268,0.11443318436457478,2.7932336429665026,0.35515777470149607,0.6342943686744802,0.1956478333177373,1.7177758728193204,0.26034648700673724,0.2620673689084385,0.4928911626338959,0.30454798943417544,0.20423983878548882,0.11389601892395189,0.0019837732144891117,1.7469104865122063,0.0009526203044346797,0.0030309781523289512,0.00426062192268594
