round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_ece,fed_brier,fed_f1_best,fed_f1,fed_auprc_lift,fed_auprc,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
44.0,0.6160597114524922,0.43179840714865064,7.37793,51.10784,0.0,0.6991196821166406,0.58988177797348,0.3577299772838093,0.22764683683862844,0.3400908271035526,0.3005600553529415,2.3853385329368515,0.2667234395272649,0.11494397582777288,0.6493689207004663,0.20508038250285054,1.8005930711220226,0.27235387045813586,0.2728220091704877,0.499783992767334,0.3773530497093302,0.24215993969624597,0.11389601892395189,0.0,0.0,,
45.0,0.641543409622604,0.3702683809134556,7.904925,54.7584,0.9971592150692714,0.6679329892098402,0.516064410680985,0.33527889755080453,0.21169034837547937,0.3056063802400794,0.28304614518943516,2.035706491584268,0.2296653755708155,0.11494397582777288,0.6608471637912777,0.2192890253730786,1.9253440765080416,0.2739061676331049,0.27837078651685393,0.5032472610473633,0.37773531225656515,0.24219145700780706,0.11389601892395189,0.007555660507286549,0.5475852100353222,0.004102459193991587,0.012433694306016816
46.0,0.6377792877980092,0.38783830786775036,7.904925,54.7584,0.0,0.6800102374194962,0.5583093841490421,0.3504092779381515,0.22363766926318268,0.3142797237290839,0.2824464301231722,2.1567577521535473,0.24229700962291617,0.11494397582777288,0.6608471637912777,0.2192890253730786,1.9253440765080416,0.2739061676331049,0.27837078651685393,0.5032472610473633,0.37773531225656515,0.24219145700780706,0.11389601892395189,0.0,0.0,,
47.0,0.6292706757687625,0.4218180247720307,7.904925,54.7584,0.0,0.6871610131862267,0.5440478155261155,0.3128908128418656,0.19929676107210936,0.3283062863436594,0.29910529534940256,2.282000116345319,0.2556023006892168,0.11494397582777288,0.6608471637912777,0.2192890253730786,1.9253440765080416,0.2739061676331049,0.27837078651685393,0.5032472610473633,0.37773531225656515,0.24219145700780706,0.11389601892395189,0.0,0.0,,
48.0,0.6139758286840339,0.4699203638776187,7.904925,54.7584,0.0,0.6974554241129219,0.5879034802053101,0.3310652638085671,0.21080841556894603,0.3371794468994446,0.305673255792469,2.362875584492829,0.26401422797789925,0.11494397582777288,0.6608471637912777,0.2192890253730786,1.9253440765080416,0.2739061676331049,0.27837078651685393,0.5032472610473633,0.37773531225656515,0.24219145700780706,0.11389601892395189,0.0,0.0,,
49.0,0.6454555149511728,0.40650795306308857,8.43192,58.40896,0.9971592150692714,0.6678809110195667,0.5227705029967479,0.32635403350914854,0.2062270552388747,0.3051229961030084,0.28555357403044357,2.0399554399989595,0.23007600109046178,0.11494397582777288,0.6610833068247081,0.21933307861135476,1.9257308612147626,0.27518747962178025,0.2779307346761339,0.5032135844230652,0.3762781895549747,0.2409984396266296,0.11389601892395189,0.006151133847273697,0.4764891709201038,0.003991496026557553,0.009237436774560738
50.0,0.6457400011057643,0.3838774490728672,8.43192,58.40896,0.0,0.6790856986846083,0.5340148874108382,0.3121669111550829,0.19758192378716047,0.31631135544149247,0.29482274903599165,2.175708090732032,0.24456991722213084,0.11494397582777288,0.6610833068247081,0.21933307861135476,1.9257308612147626,0.27518747962178025,0.2779307346761339,0.5032135844230652,0.3762781895549747,0.2409984396266296,0.11389601892395189,0.0,0.0,,
51.0,0.630310631908113,0.39986936192932654,8.43192,58.40896,0.0,0.6890719848080287,0.5451683806867273,0.3257454706098681,0.20654712335778022,0.32966378374810346,0.2982811003839051,2.290565199071915,0.2564236771447766,0.11494397582777288,0.6610833068247081,0.21933307861135476,1.9257308612147626,0.27518747962178025,0.2779307346761339,0.5032135844230652,0.3762781895549747,0.2409984396266296,0.11389601892395189,0.0,0.0,,
52.0,0.6197469579684534,0.425105791024568,8.43192,58.40896,0.0,0.6965551088773068,0.5942559367622399,0.344760248637788,0.2189143994167442,0.33826856055427584,0.2963255763751665,2.3721877128792634,0.2653374279388459,0.11494397582777288,0.6610833068247081,0.21933307861135476,1.9257308612147626,0.27518747962178025,0.2779307346761339,0.5032135844230652,0.3762781895549747,0.2409984396266296,0.11389601892395189,0.0,0.0,,
53.0,0.6430002155258857,0.4050536972078489,8.958915,62.05952,0.9971592150692714,0.668647636200043,0.5239635457076159,0.32944834663813016,0.20838248934562922,0.30464197000444404,0.28321017428312495,2.054552177186321,0.2315440796298155,0.11494397582777288,0.6605045261103641,0.21772378309712664,1.9116013461585546,0.2752827140549273,0.2763803680981595,0.5033122301101685,0.37556423347131546,0.24036812445581984,0.11389601892395189,0.005520279256317917,0.4555975276452955,0.003592245763243215,0.008344598903660513
54.0,0.6428226888987748,0.4117838115429363,8.958915,62.05952,0.0,0.6811724285862749,0.5227320601357692,0.3303546349779587,0.20856910222737382,0.3220650059797507,0.3003571684896516,2.1753191163672523,0.24476714025075555,0.11494397582777288,0.6605045261103641,0.21772378309712664,1.9116013461585546,0.2752827140549273,0.2763803680981595,0.5033122301101685,0.37556423347131546,0.24036812445581984,0.11389601892395189,0.0,0.0,,
55.0,0.627788671293884,0.40417919510593714,8.958915,62.05952,0.0,0.6934870822683175,0.5523661437648287,0.32915079964639765,0.2078459720005351,0.3333410495929811,0.30362514595390167,2.3061787537737675,0.2587087148110339,0.11494397582777288,0.6605045261103641,0.21772378309712664,1.9116013461585546,0.2752827140549273,0.2763803680981595,0.5033122301101685,0.37556423347131546,0.24036812445581984,0.11389601892395189,0.0,0.0,,
56.0,0.6175403025466505,0.47064881751701293,8.958915,62.05952,0.0,0.6997437503725271,0.5763056587245412,0.3400567918753242,0.21607797992022662,0.3403344669502531,0.29918299743201116,2.391316769721289,0.267507504821085,0.11494397582777288,0.6605045261103641,0.21772378309712664,1.9116013461585546,0.2752827140549273,0.2763803680981595,0.5033122301101685,0.37556423347131546,0.24036812445581984,0.11389601892395189,0.0,0.0,,
57.0,0.6467716267123396,0.47544657096000165,9.48591,65.71008,0.9971592150692714,0.6688034334628494,0.5218183748441875,0.32918825133627544,0.2083348322609401,0.3045993012251598,0.28486303667238394,2.0517574651892505,0.23120511048588524,0.11494397582777288,0.6599275525170711,0.21721847665289157,1.9071647868388433,0.27335279399499585,0.2767419038272817,0.503971517086029,0.37689449551619203,0.2413933407412355,0.11389601892395189,0.006559993791362283,0.5709037832275499,0.003738987038994597,0.010790536011019564
58.0,0.6423863629663703,0.4110564918211711,9.48591,65.71008,0.0,0.6811132554678235,0.5545968285052524,0.3403232087467129,0.2168922308874928,0.3167279106558148,0.29014131844854596,2.163289767101524,0.2434665262191285,0.11494397582777288,0.6599275525170711,0.21721847665289157,1.9071647868388433,0.27335279399499585,0.2767419038272817,0.503971517086029,0.37689449551619203,0.2413933407412355,0.11389601892395189,0.0,0.0,,
59.0,0.6299610252421239,0.38041709567136256,9.48591,65.71008,0.0,0.6885640607278394,0.5543623454348199,0.3336979571233224,0.2113419958019096,0.3256887830156035,0.29390921484577454,2.2770764582854084,0.25537641987966786,0.11494397582777288,0.6599275525170711,0.21721847665289157,1.9071647868388433,0.27335279399499585,0.2767419038272817,0.503971517086029,0.37689449551619203,0.2413933407412355,0.11389601892395189,0.0,0.0,,
60.0,0.6176128629550279,0.4404308299831209,9.48591,65.71008,0.0,0.7009602276362452,0.5420788560547127,0.3220744731302647,0.20302474111357063,0.3426266143291404,0.3123843910950117,2.4042443208944366,0.26908991674485516,0.11494397582777288,0.6599275525170711,0.21721847665289157,1.9071647868388433,0.27335279399499585,0.2767419038272817,0.503971517086029,0.37689449551619203,0.2413933407412355,0.11389601892395189,0.0,0.0,,
