round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_ece,fed_auroc,fed_f1_best,fed_brier,fed_auprc,fed_f1_best_threshold,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
34.0,0.6468920602845294,1.7472989712600289,124.47264,124.47264,1.0,2.6444390847173134,0.3221906625511793,0.7171051032707798,0.34587294463276064,0.20250461528183583,0.30412521236621853,0.5694120297769285,0.11486656596173213,0.3117425841269432,0.6517723540497508,0.21297412625632678,1.8698996529328133,0.26866697205680257,0.27647162807141595,0.5815268754959106,0.32069200924397867,0.20968112956629587,0.11389601892395189,0.0031667741359891945,1.7494730698290368,0.0016878255037663906,0.004817471904786,0.0039151289828819056
35.0,0.6573609137637522,2.5280247658919826,128.1336,128.1336,1.0,2.6724508048238937,0.32473664490217596,0.7184140500588101,0.35047295170701726,0.2028842914159498,0.3080121044714832,0.5753792128455332,0.11486656596173213,0.3135947768840336,0.649782676124402,0.20936263631946994,1.8381909947112454,0.26771290099238404,0.27532264372311305,0.52342689037323,0.32337037288794734,0.21040973322815265,0.11389601892395189,0.003142582180806649,1.7911893418013278,0.0016358379505180371,0.004832522629986652,0.0033425015309518375
36.0,0.6545487665051608,2.125124687782985,131.79456,131.79456,1.0,2.6910220216516016,0.31411054020404977,0.7182794671063847,0.3511854773714778,0.19650116491769654,0.30989777351202513,0.5458385345506344,0.11486656596173213,0.3109398919725904,0.6504665208487305,0.2100642675749332,1.8443512737279486,0.26953919808497906,0.2751293925360937,0.5227072238922119,0.31272278528665876,0.20409739996337017,0.11389601892395189,0.002887222021735697,1.6954753923309909,0.0015368454613563641,0.004398867445784929,0.0037242086034183814
37.0,0.6477108674474812,2.362941599944037,135.45552,135.45552,1.0,2.7052080020555422,0.31831173281027525,0.7201964382339453,0.3522803098335656,0.2000854772955795,0.31166870350085346,0.5621969319339785,0.11486656596173213,0.3098998852076091,0.6528987551897629,0.21329386198063094,1.8727069128118232,0.26730527996350784,0.2754046166091802,0.5308213233947754,0.3169535059102359,0.2075740681987089,0.11389601892395189,0.002741201973720265,1.6559015180755523,0.0014353169321684176,0.0042086350835682474,0.0033037660343305103
38.0,0.6504705243192623,2.2978258589232654,139.11648,139.11648,1.0,2.7297178130839455,0.3092517196825069,0.7207254863273328,0.35224530379270436,0.19362813045388574,0.3140466978754354,0.5574920239585404,0.11486656596173213,0.31314036836927156,0.6508247198498042,0.21278553363855843,1.8682438214160482,0.27148884870403855,0.275178026449644,0.5093369483947754,0.30784129726712006,0.20118168653821797,0.11389601892395189,0.0026393648590040983,1.6424519662086823,0.0013879204997842398,0.004051749091375987,0.0026139279845978315
39.0,0.6629588623932013,2.662515280670713,142.77744,142.77744,1.0,2.7613177598339327,0.3156699505064802,0.7221134426971498,0.3514771534445622,0.1985431757504808,0.31748546442624287,0.5584043188270065,0.11486656596173213,0.3096765390375247,0.6524583698292306,0.21152622429042148,1.8571871632463033,0.2727481617647059,0.27803769549525464,0.530064582824707,0.3143047538644058,0.20681496169772495,0.11389601892395189,0.002675979199065444,1.7126165448862594,0.0013838033279604622,0.004133871245782018,0.003220657196848725
40.0,0.6531904572447675,2.150587912414648,146.4384,146.4384,1.0,2.7397016460173234,0.32515966771382043,0.7216667855751231,0.350142650645371,0.20678383775267473,0.3145829237599876,0.5840686607021699,0.11486656596173213,0.3060546733396796,0.6505606919346028,0.2122985253165487,1.863967918477466,0.2645725729946242,0.2721893491124261,0.5524367690086365,0.32450186801989783,0.2157519913162372,0.11389601892395189,0.0025787053249022363,1.6947987106850633,0.0013047596847215953,0.0040129152582192695,0.004361142451681429
41.0,0.6538096505037091,2.6304795281867888,150.09936,150.09936,1.0,2.7525964123763886,0.3343147270048852,0.7229883982892783,0.35092633288819153,0.2099007326592115,0.31699385640931943,0.5912493232427556,0.11486656596173213,0.3029786691494789,0.649921874643125,0.21027624249037163,1.8462124003717162,0.2629147417051659,0.2711426726920594,0.5397691130638123,0.3330241147335584,0.21803873286773745,0.11389601892395189,0.002505023636335384,1.6905667375485791,0.0013024295836177161,0.0038699348145350265,0.0023149152893668684
42.0,0.6543237495592941,2.2827466099412126,153.76032,153.76032,1.0,2.7686849568717347,0.3219578993964378,0.725113282797863,0.35751112043099625,0.20258803090895897,0.31917670103327817,0.5945285581735086,0.11486656596173213,0.3063657553948499,0.646909529345864,0.20765155388165202,1.8231677967629447,0.2593915773519541,0.270948905109489,0.5531651377677917,0.32088614519085584,0.2112740210821728,0.11389601892395189,0.0024047757428395707,1.6661033501040947,0.001223461147816602,0.003742439952099246,0.0034295911084630385
43.0,0.6665340584600908,3.7736905230327027,157.42128,157.42128,1.0,2.8006745924592713,0.31345480991876684,0.7274912168119898,0.356981395159565,0.19650500401356327,0.32280825487656445,0.5827522318123691,0.11486656596173213,0.3170015358581222,0.645180691774974,0.20503148540565383,1.8001637576336438,0.26221383054047676,0.2696431194007931,0.5415831804275513,0.31223251862962964,0.2062070887724987,0.11389601892395189,0.0024346561750644654,1.7331773983023595,0.0011485925933684546,0.00388721465150766,0.00359270804652656
44.0,0.6641127877547227,2.8283490927755457,161.08224,161.08224,1.0,2.78922333604727,0.3237101408200978,0.7290125385185531,0.3535738839893561,0.20427849571917445,0.32127325177164184,0.5768632184421457,0.11486656596173213,0.31171379169227187,0.645489245144956,0.2076818011562242,1.8234333659624473,0.2628163530175211,0.26955848179705655,0.5697274804115295,0.3227086218499673,0.2144436635720149,0.11389601892395189,0.002267583751699379,1.6582610017376282,0.0011396684844362152,0.003541465234283921,0.0032099825469592037
45.0,0.660271507831987,3.214464972087638,164.7432,164.7432,1.0,2.8193848051362824,0.3235128747940655,0.7313437147129453,0.3589771584836105,0.2029115595608005,0.3245500373883392,0.581935110803007,0.11486656596173213,0.3114707200723465,0.6477816785935819,0.208649195890743,1.8319270318838587,0.2634167668597661,0.2756841954434733,0.5501532554626465,0.3227606200979993,0.21288127686749533,0.11389601892395189,0.002210118440891043,1.6565419540538642,0.0010831589246504784,0.003486144633908658,0.0029845663680058876
46.0,0.6623582416348395,2.8297152725990076,168.40416,168.40416,1.0,2.831460332661406,0.31956685398215384,0.7320440419637801,0.3594942952814531,0.2005309705891069,0.32628346414207166,0.5786404905002283,0.11486656596173213,0.31356325216083086,0.6469814126054423,0.20977507102179557,1.8418121458824817,0.2646830243144221,0.27212389380530977,0.5430484414100647,0.31927347626560126,0.2106772096972713,0.11389601892395189,0.002121661457685409,1.6267569066731085,0.001058363530526796,0.0033295544204387383,0.0027559331432620306
47.0,0.6610555695591621,2.8416481117493704,172.06512,172.06512,1.0,2.8875767742530245,0.3222319732836541,0.7351781428780559,0.3633489667599905,0.20144698816827578,0.3328126653761267,0.5856614411233625,0.11486656596173213,0.31666617636215844,0.6450920800962232,0.20617373769936254,1.810192662107218,0.2630003326311121,0.2709620476610768,0.5492346286773682,0.32150580010877855,0.2120830802681639,0.11389601892395189,0.002136367448153292,1.679650977592246,0.0010001305490801797,0.003425579090097079,0.003616517731955719
48.0,0.6737021756333376,3.294012008680076,175.72608,175.72608,1.0,2.8646666200199267,0.32935488949586866,0.7365352447811621,0.36461714587087196,0.20601068315036591,0.32997313573110976,0.585995259601904,0.11486656596173213,0.3116395369155973,0.6462830230665448,0.2087909396462267,1.8331715332880592,0.25929907546764136,0.27305024530536287,0.5803412199020386,0.3289184020500605,0.216806928760784,0.11389601892395189,0.002222241303180888,1.7904098171011356,0.0010280769817083626,0.003575081542603938,0.003416521997733281
49.0,0.6610267403707375,2.645170538898721,179.38704,179.38704,1.0,2.9006729327109744,0.3131000936545218,0.7363943671400134,0.36255254002858756,0.195496436919891,0.3341152287954214,0.5613655108500794,0.11486656596173213,0.32415156864671135,0.6475065318641373,0.2057447553292624,1.806426223436639,0.26644852167815825,0.2743195904068984,0.527298629283905,0.31298940055410235,0.20657688619930167,0.11389601892395189,0.002073175325036981,1.7092639305265038,0.000938491877669167,0.003360267478981548,0.0038088493559234296
50.0,0.6616156306778258,3.033803736670721,183.048,183.048,1.0,2.9045604334433497,0.3213460916436319,0.7362575664160468,0.36468239413086034,0.20109368459595178,0.3347257034574931,0.5692389080111473,0.11486656596173213,0.3176181774778505,0.6484292930507312,0.20587561040051217,1.8075751228668917,0.26535626535626533,0.273357360687552,0.5435612201690674,0.32084342112126835,0.21226894282671652,0.11389601892395189,0.0019790066289284997,1.6700550241366727,0.0009253789541368381,0.0031718248704580405,0.0034582131254893827
