round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_prevalence,fed_auroc,fed_f1_best,fed_ece,fed_brier,fed_f1,fed_auprc_lift,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
31.0,0.1555673385959193,0.06031386861119463,40.15616,40.15616,0.0,0.2823979201320978,0.11412564522220824,0.7179648934900897,0.3524749105471619,0.3675533080583523,0.22985929776469946,0.3127952742731153,2.55431580812009,0.5279855687571281,0.6603964376825098,0.22676254855988381,1.9909611477403144,0.273770305577644,0.28312883435582825,0.5073820352554321,0.37925985236671655,0.24281751220048595,0.11389601892395189,0.0,0.0,,
32.0,0.14943917551672478,0.06129355035414992,40.15616,40.15616,0.0,0.3010858060784249,0.11412564522220824,0.7332775784583273,0.36500334007823737,0.35855813458680086,0.2219343848967698,0.3279073445838092,2.7301876663702087,0.524179193991701,0.6603964376825098,0.22676254855988381,1.9909611477403144,0.273770305577644,0.28312883435582825,0.5073820352554321,0.37925985236671655,0.24281751220048595,0.11389601892395189,0.0,0.0,,
33.0,0.16141442186240768,0.06182815756641885,43.80672,43.80672,0.9971592150692714,0.24981874903882081,0.11412564522220824,0.6901842180372401,0.3208780513766601,0.37383870671284103,0.23562606539937048,0.29197584835035445,2.2272418230443964,0.5311991981181782,0.660684359753828,0.2269876804754588,1.992937792031326,0.27357443976037277,0.2814774131539201,0.5057622194290161,0.37910610739931233,0.24260066277095277,0.11389601892395189,0.0063677451076617495,1.2272870144806802,0.005173376550262973,0.007388681929380343
34.0,0.16141151690953787,0.05743002945117931,43.80672,43.80672,0.0,0.2706250490720525,0.11412564522220824,0.7070085568956117,0.34054549410828755,0.3775373250161628,0.23767531486291488,0.29889928905186636,2.4366484632196057,0.5370171865227689,0.660684359753828,0.2269876804754588,1.992937792031326,0.27357443976037277,0.2814774131539201,0.5057622194290161,0.37910610739931233,0.24260066277095277,0.11389601892395189,0.0,0.0,,
35.0,0.1552343572724893,0.057166672182536,43.80672,43.80672,0.0,0.29241502440612127,0.11412564522220824,0.7235300486753554,0.3568210113553723,0.37309680681665824,0.23341513714191478,0.3137629697980354,2.6467290290556615,0.5350017588072996,0.660684359753828,0.2269876804754588,1.992937792031326,0.27357443976037277,0.2814774131539201,0.5057622194290161,0.37910610739931233,0.24260066277095277,0.11389601892395189,0.0,0.0,,
36.0,0.15101945716812348,0.06677498189713157,43.80672,43.80672,0.0,0.3052481758521982,0.11412564522220824,0.7343744939077216,0.36993389046954506,0.3687550429919348,0.22948984667630842,0.3192710048919707,2.780764573219193,0.5346030660905061,0.660684359753828,0.2269876804754588,1.992937792031326,0.27357443976037277,0.2814774131539201,0.5057622194290161,0.37910610739931233,0.24260066277095277,0.11389601892395189,0.0,0.0,,
37.0,0.16282315199719283,0.07044143752280901,47.45728,47.45728,0.9971592150692714,0.25101361790351207,0.11412564522220824,0.6909187992834127,0.32373134446411833,0.37009147674325543,0.2331361821615071,0.2950188846838677,2.2299936273897907,0.5218384143264772,0.6599067455260829,0.22603492251744653,1.984572636102141,0.2735358669284972,0.27922077922077926,0.5059800744056702,0.3774398537723448,0.24139748203982825,0.11389601892395189,0.006362263146853573,1.2899270869093016,0.004952079398978513,0.00759566319218704
38.0,0.1619042576506808,0.06727586290622317,47.45728,47.45728,0.0,0.27377239088054356,0.11412564522220824,0.7096104795197111,0.342374761667375,0.36944093508405523,0.23134906415826068,0.3030856086485534,2.4606872775372355,0.528255489933075,0.6599067455260829,0.22603492251744653,1.984572636102141,0.2735358669284972,0.27922077922077926,0.5059800744056702,0.3774398537723448,0.24139748203982825,0.11389601892395189,0.0,0.0,,
39.0,0.15458145089138872,0.054134207789313535,47.45728,47.45728,0.0,0.29304632064981223,0.11412564522220824,0.7224767671739679,0.35829656842694596,0.3734815827793984,0.2337078535721876,0.307652192610824,2.6466214686172598,0.538533262791208,0.6599067455260829,0.22603492251744653,1.984572636102141,0.2735358669284972,0.27922077922077926,0.5059800744056702,0.3774398537723448,0.24139748203982825,0.11389601892395189,0.0,0.0,,
40.0,0.14871969340373986,0.06102453295871178,47.45728,47.45728,0.0,0.31235211525127143,0.11412564522220824,0.7394481773377234,0.37291241387077617,0.37083360664457377,0.23063250699343427,0.3219843707769465,2.837520007507954,0.5369442126154524,0.6599067455260829,0.22603492251744653,1.984572636102141,0.2735358669284972,0.27922077922077926,0.5059800744056702,0.3774398537723448,0.24139748203982825,0.11389601892395189,0.0,0.0,,
